Country,Weight_kg,Price_KRW
Australia,0.5,18500
Brazil,0.5,28000
Canada,0.5,23000
China,0.5,17000
France,0.5,25000
Germany,0.5,19500
Hong Kong,0.5,17000
Indonesia,0.5,17000
Australia,1.0,21000
Brazil,1.0,32000
Canada,1.0,27000
China,1.0,19500
France,1.0,27000
Germany,1.0,23000
Hong Kong,1.0,19000
Indonesia,1.0,20000
Australia,1.5,24500
Brazil,1.5,36000
Canada,1.5,31000
China,1.5,21000
France,1.5,29000
Germany,1.5,26500
Hong Kong,1.5,20500
Indonesia,1.5,23000
Australia,2.0,28500
Brazil,2.0,40000
Canada,2.0,35000
China,2.0,23500
France,2.0,31000
Germany,2.0,29500
Hong Kong,2.0,22000
Indonesia,2.0,25000
Australia,2.5,32500
Brazil,2.5,43000
Canada,2.5,39000
China,2.5,25000
France,2.5,33000
Germany,2.5,33000
Hong Kong,2.5,23500
Indonesia,2.5,26500
Australia,3.0,36500
Brazil,3.0,49500
Canada,3.0,43000
China,3.0,27500
France,3.0,34000
Germany,3.0,36500
Hong Kong,3.0,25000
Indonesia,3.0,28000
Australia,3.5,40000
Brazil,3.5,55500
Canada,3.5,47000
China,3.5,29000
France,3.5,36000
Germany,3.5,40000
Hong Kong,3.5,26500
Indonesia,3.5,30000
Australia,4.0,44000
Brazil,4.0,62000
Canada,4.0,51000
China,4.0,31000
France,4.0,37000
Germany,4.0,43500
Hong Kong,4.0,28000
Indonesia,4.0,32000
Australia,4.5,48000
Brazil,4.5,68000
Canada,4.5,55000
China,4.5,33000
France,4.5,38000
Germany,4.5,47000
Hong Kong,4.5,29500
Indonesia,4.5,33500
Australia,5.0,52000
Brazil,5.0,74500
Canada,5.0,59000
China,5.0,35000
France,5.0,39000
Germany,5.0,50000
Hong Kong,5.0,31000
Indonesia,5.0,35500
Australia,5.5,56000
Brazil,5.5,80500
Canada,5.5,63000
China,5.5,37000
France,5.5,40500
Germany,5.5,53500
Hong Kong,5.5,32500
Indonesia,5.5,37500
Australia,6.0,60000
Brazil,6.0,86500
Canada,6.0,67000
China,6.0,39000
France,6.0,43000
Germany,6.0,57000
Hong Kong,6.0,34000
Indonesia,6.0,39500
